3,5
13,5
33,5
55,5
58,5
66,5
261,5
271,5
288,5
329,5
356,5
364,5
374,5
380,5
400,5
412,5
461,5
556,5
577,5
590,5
621,5
674,5
706,5
826,5
830,5
858,5
863,5
910,5
917,5
959,5
971,5
972,5
978,5
1055,5
1060,5
1066,5
1077,5
1080,5
1121,5
1130,5
1140,5
1142,5
1167,5
1182,5
1196,5
1252,5
1273,5
1285,5
1292,5
1309,5
1569,5
1585,5
1829,5
1844,5
1879,5
1882,5
1904,5
1921,5
1975,5
1985,5
1995,5
2004,5
2013,5
2055,5
2073,5
2081,5
2086,5
2106,5
2172,5
2201,5
2204,5
2215,5
2223,5
2259,5
2328,5
2398,5
2424,5
2455,5
2509,5
2510,5
2568,5
2573,5
2579,5
2664,5
2681,5
2709,5
2715,5
2828,5
2908,5
2966,5
3030,5
3042,5
3077,5
3111,5
3115,5
3132,5
3198,5
3225,5
3245,5
3318,5
3360,5
3374,5
3439,5
3442,5
3515,5
3521,5
3598,5
3618,5
3622,5
3628,5
3638,5
3644,5
3650,5
3663,5
3708,5
3736,5
3747,5
3776,5
3869,5
3963,5
3984,5
4016,5
4021,5
4023,5
4073,5
4110,5
4159,5
4162,5
4178,5
4199,5
4213,5
4261,5
4278,5
4291,5
4321,5
4398,5
4445,5
4464,5
4469,5
4473,5
4507,5
4508,5
4544,5
4609,5
4626,5
4658,5
4716,5
4756,5
4864,5
4870,5
4871,5
4897,5
4922,5
4939,5
5051,5
5083,5
5141,5
5218,5
5262,5
5280,5
5302,5
5326,5
5336,5
5395,5
5425,5
5431,5
5508,5
5515,5
5554,5
5569,5
5626,5
5712,5
5780,5
5787,5
5832,5
5854,5
5865,5
5905,5
5911,5
5957,5
5967,5
5986,5
